baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000007866.22	1761.35966401651	0.161414950474071	0.0574753183316603	2.80842203504866	0.00497849355864414	0.0145825382125597	TEAD3	7005
ENSG00000007923.17	16246.3170791828	-0.439121179185088	0.0356429545549766	-12.3199994127248	7.06948047214453e-35	2.5982625232346e-33	DNAJC11	55735
ENSG00000007944.16	1682.76772288329	0.30597059010483	0.0571777747894745	5.35121541947719	8.73654451564257e-08	4.90315633977665e-07	MYLIP	29116
ENSG00000007952.18	104.787421930014	0.639539309377155	0.204398823062364	3.12887960799083	0.00175474188432248	0.00561520993615248	NOX1	27035
ENSG00000007968.7	3253.14031523716	0.119926154931262	0.0472105663772475	2.54023969915894	0.0110776518957965	0.0300421155245668	E2F2	1870
ENSG00000008018.9	28074.4036989796	-0.230742564352758	0.0404088161890681	-5.71020351779524	1.12841152993517e-08	6.86640611318722e-08	PSMB1	5689
ENSG00000008083.14	8268.43932005578	-0.08464111242236	0.0369284524628377	-2.29202977047405	0.0219039253518541	0.0547589379929614	JARID2	3720
ENSG00000008130.15	8851.37797347823	-0.182425401460508	0.0436407333610069	-4.18016351722231	2.91299553522568e-05	0.000122673705877546	NADK	65220
ENSG00000008256.17	9092.09552712267	0.139280176191977	0.0390178076232884	3.56965664336418	0.000357449428262625	0.00129352606360871	CYTH3	9265
ENSG00000008277.15	2048.51839522173	0.211529285345905	0.0635016336338525	3.33108415077277	0.000865084466721897	0.00293239914009546	ADAM22	53616
ENSG00000008282.10	8334.56565233359	-0.149138552942743	0.0455006846860218	-3.27772107105369	0.0010464874870907	0.00349354137407791	SYPL1	6856
ENSG00000008283.16	6712.49066211912	0.176958992478392	0.0430760874588687	4.10805630031653	3.99002852748873e-05	0.000165074235786065	CYB561	1534
ENSG00000008300.17	5566.25728022185	-0.272810044303335	0.0584548166063444	-4.66702421017817	3.05593334205106e-06	1.44884685674293e-05	CELSR3	1951
ENSG00000008311.16	10082.5308070536	0.240348720254508	0.0458821767644326	5.23838965811281	1.61983776725822e-07	8.83257772777811e-07	AASS	10157
ENSG00000008323.16	7.96620476377631	1.91252994905174	0.822136554834759	2.32629231458531	0.0200029617484174	0.0505888764134592	PLEKHG6	55200
ENSG00000008382.16	1547.73804287166	-0.26462202130703	0.0640788970840211	-4.12962821379485	3.63350328868384e-05	0.000151446005277405	MPND	84954
ENSG00000008405.12	8502.72833639644	-0.299572982993738	0.0406514033411578	-7.36931466989318	1.71507407727288e-13	1.57957514472509e-12	CRY1	1407
ENSG00000008513.17	148.71667944454	0.902273730724007	0.178737045722643	5.04805104658672	4.46339902785334e-07	2.32398420832644e-06	ST3GAL1	6482
ENSG00000008516.19	101.034978333187	0.760025369490254	0.214226134287312	3.54777147997702	0.000388505139966888	0.00139862744736928	MMP25	64386
ENSG00000008517.19	204.691749737444	1.73121180830684	0.153867396620756	11.2513231933977	2.2814350877075e-29	6.21571822632643e-28	IL32	9235
ENSG00000008710.20	12355.0593536991	0.210124474671159	0.10448601048342	2.01102974167533	0.044322315320742	0.100738976548714	PKD1	5310
ENSG00000008735.14	69.5154433764159	0.858247121698679	0.269319931326739	3.18671966634898	0.00143896171252722	0.00468231434485164	MAPK8IP2	23542
ENSG00000008838.21	16546.8815688045	-0.173169986319044	0.0339569772850888	-5.09968790405519	3.40213979497337e-07	1.7910911692877e-06	MED24	9862
ENSG00000008869.12	7462.92233592982	-0.223009477100444	0.0421535748707512	-5.29040485378102	1.22045899867465e-07	6.75376788774717e-07	HEATR5B	54497
ENSG00000008952.17	22748.5132609135	-0.0771865834694052	0.0380510967548426	-2.02849825766407	0.0425094209513266	0.097233227957777	SEC62	7095
ENSG00000009307.17	108774.163248057	-0.156846928023584	0.0348268312930606	-4.50362327550702	6.68045865785068e-06	3.05117852572424e-05	CSDE1	7812
ENSG00000009413.17	6810.08975466006	-0.26229808865193	0.0565303711191348	-4.63994987931621	3.48493689277137e-06	1.63956635371856e-05	REV3L	5980
ENSG00000009694.14	109.365250888376	1.69775516732687	0.225038205812468	7.5442974724997	4.54732103849749e-14	4.3815945816724e-13	TENM1	10178
ENSG00000009724.18	8.04553390144256	1.92164695666146	0.803226820447243	2.39240885356825	0.0167381849419038	0.0433593018409745	MASP2	10747
ENSG00000009780.16	997.565705024225	-0.470963660068103	0.0719317688327628	-6.54736659073499	5.85604927066679e-11	4.43593250275236e-10	FAM76A	199870
ENSG00000009790.15	116.176584270401	0.460500436419989	0.195802331181403	2.35186391112654	0.0186796076710529	0.047677663548843	TRAF3IP3	80342
ENSG00000009830.13	3719.8984633036	-0.202016376547922	0.0460836133065428	-4.38369220755614	1.16684603748795e-05	5.16639913852076e-05	POMT2	29954
ENSG00000009844.16	9246.86510644366	-0.290901033671732	0.0423337416139008	-6.87161168802076	6.3480560723966e-12	5.21123752693828e-11	VTA1	51534
ENSG00000009950.16	476.713877575948	1.12425722433566	0.104765579029585	10.7311698627483	7.26702835985336e-27	1.69620034336667e-25	MLXIPL	51085
ENSG00000009954.11	27674.9870776101	-0.398763609651448	0.0404193229629873	-9.865667715825	5.86429615825232e-23	1.0541240858716e-21	BAZ1B	9031
ENSG00000010030.14	12.7317521500016	2.0197301546782	0.633998816613519	3.18570019651853	0.00144404155462089	0.00469648005586535	ETV7	51513
ENSG00000010072.16	3067.53735450399	-0.198854323209349	0.0509694190235497	-3.9014437876459	9.56206675731447e-05	0.00037590844892977	SPRTN	83932
ENSG00000010219.14	2413.48656773615	-0.799187798605479	0.050716622702095	-15.757906501382	6.06076195494629e-56	6.3187483888285e-54	DYRK4	8798
ENSG00000010244.19	22338.950775199	-0.146585186309269	0.0351918520998688	-4.16531604796712	3.10921536999299e-05	0.00013053279077486	ZNF207	7756
ENSG00000010256.12	23807.1564744037	-0.378213288912361	0.0429085048072668	-8.81441314749119	1.20313604387414e-18	1.59586454810227e-17	UQCRC1	7384
ENSG00000010270.14	5253.8789415638	-0.264565596227362	0.0430460171801043	-6.14611091940101	7.940576604025e-10	5.4131956068895e-09	STARD3NL	83930
ENSG00000010292.13	41639.2232060598	-0.250108196313068	0.0316913616689372	-7.89199905405819	2.97383984097734e-15	3.14338589747375e-14	NCAPD2	9918
ENSG00000010295.20	13.0545224875284	1.2709193133768	0.575123262132252	2.20982074114843	0.0271176056583357	0.0659377557471637	IFFO1	25900
ENSG00000010310.9	107.760402401624	1.79822160262129	0.209641736849289	8.57759351571306	9.6878609349518e-18	1.21591984936793e-16	GIPR	2696
ENSG00000010319.7	6456.88123126218	0.93099500352181	0.0394284847519917	23.6122440255527	2.88518812295048e-123	1.96173975916353e-120	SEMA3G	56920
ENSG00000010322.16	9024.93816902911	0.166724313121811	0.0367148952454487	4.54105376053005	5.59737550128354e-06	2.58099828326176e-05	NISCH	11188
ENSG00000010327.10	20.5389470524221	2.04107649747722	0.489244761120538	4.17189239349739	3.02080296833172e-05	0.000126991471022193	STAB1	23166
ENSG00000010361.14	4862.38879111615	-0.275078624540939	0.0483083122343877	-5.69422966396098	1.23930174464973e-08	7.523610377991e-08	FUZ	80199
ENSG00000010379.16	94.5803869390647	1.61487342234202	0.219763251324593	7.34824140345846	2.00831551099589e-13	1.83989701925655e-12	SLC6A13	6540
ENSG00000010404.18	547.738913439286	0.441317521615321	0.105570798759775	4.18029916226677	2.91125837222053e-05	0.000122617059127311	IDS	3423
ENSG00000010610.10	1988.40847504618	-0.384637071440104	0.066144096209225	-5.81513836432857	6.05837530626762e-09	3.77616190622025e-08	CD4	920
ENSG00000010626.15	843.738124794348	-0.462133169772809	0.0792508453268459	-5.83127117277907	5.5006706987264e-09	3.4422664554635e-08	LRRC23	10233
ENSG00000010671.18	219.361491756005	0.819856776260477	0.140612129919691	5.83062625343013	5.52197403298349e-09	3.45490661791607e-08	BTK	695
ENSG00000010704.20	1313.21002601187	-0.222697905505362	0.0637399792798348	-3.49384966894421	0.000476109034842363	0.0016906519394601	HFE	3077
ENSG00000010803.17	6688.95865226415	-0.684728431531266	0.0419533762667898	-16.3211758495179	6.97785000164878e-60	8.90800875516608e-58	SCMH1	22955
